Date,ABOT,AICL,AGIL,AASM,AGTL,AKGL,ABL,,ARPL,AHCL,AEL,AKBL,,ATLH,ATIL,ACPL,APL,ATRL,ANL,BGL,BAHL,BAFL,BOP,BNWM,BATA,,BWCL,BHAT,BIPLS,BCL,BYCO,CPAL,CENI,CEPB,CHCC,COLG,CSAP,CRTM,CYAN,DADX,DNCC,DAWH,DLL,DCL,DFML,DKTM,DMTM,DSFL,DWSM,DWTM,DGKC,,DKL,,ECOP,EFUG,EFUL,ENGRO,ESBL,FASM,FCCL,FFC,FFBL,FABL,,FECTC,FML,FEROZ,FHAM,GADT,GAMON,GATI,GTYR,GHGL,GWLC,GLPL,GSKP,GOC,GATM,HAL,HBL,HMB,HABSM,HAEL,HADC,HINO,HCAR,HUBC,HSPI,IBFL,ICI,IDSM,IGIL,INDU,INIL,ICIBL,JKSM,JSCL,JPGL,JVDC,JDWS,JSGCL,JLICL,JGICL,KEL,KCL,KSTM,KOHC,KOHE,KML,KOSM,KTML,KAPCO,,LINDE,,LUCK,MLCF,MARI,MCB,MEBL,MEHT,MTL,MIRKS,MUREB,NBP,NATF,NRL,NESTLE,NESOL,NIB,NICL,NCL,NML,NONS,OGDC,OLPL,OTSU,PACE,PKGS,PELPS,PGLC,PSMC,PCAL,PECO,PHDL,PICL,PIAA,PNSC,POL,PPL,PRL,PAKRI,PSEL,PSO,PSYL,PTC,PAKT,PMPK,PIOC,RMPL,RUPL,SAIF,SBL,SMTM,SFL,SAPT,SHCM,SIEM,SILK,SNBL,SCBPL,TELE,THALL,TREET,TRG,TRPOL,UPFL,UBL,WTL,WYETH
1/1/2009,85.13,28.26,29.33,39.17,161.85,3.2,16.8,0.5,124.12,29.11,15,7.12,3.5,84.62,12.78,22.56,95.24,56.9,11.18,3.09,11.18,12.11,11.56,43.68,747,3.39,32,187.4,35.16,31.45,4.84,4.9,11.99,19.68,8.18,259.02,13.74,42.89,23.44,103.08,20.43,47.57,43.35,3.01,2.14,16.5,22,1.35,2.09,22.8,18.47,212.67,0.25,94.13,3.99,72.66,267.56,45.67,5.7,44.85,4.99,23.92,12.69,4.65,778.14,14.73,7.35,128.39,5.85,46.9,10.7,37.53,16.6,22.34,17.17,144.5,45.98,47.78,12.46,9.75,36.8,15.89,18.32,5.5,0.7,610,12.1,15.09,21.28,36.48,98.26,3,36.19,116.74,36.4,1.8,8.23,45.12,1.72,31.85,36.21,166.43,39.24,39.18,2.13,28.98,5.45,12.79,19.25,14.25,9.85,4.32,33.08,62,108.02,1.81,29.71,4.2,31.34,67.47,12.17,103.18,72.46,52.02,56.79,20.16,15.72,90.41,1350,24.08,4.16,3.18,6.78,21.36,6.81,47.5,14.15,66.73,9.2,85.07,9.87,15.8,75.63,60.08,183.58,73.74,0.43,3.46,51.05,97.37,44.47,18.33,22.51,409.09,86.72,2.6,15.89,106.3,343.67,24.13,2262.35,42,9.5,13.14,7,182.22,136,5.25,1130.5,2.18,6.31,8.97,2.05,40.89,15.1,1.76,1.2,1681.5,28.98,3.1,2800
1/2/2009,89.38,26.85,28.04,39.17,153.77,3.4,17.63,0.5,124.12,27.66,15,7.5,4.13,84.62,12.14,21.75,99.99,55.04,11.91,3.09,11.74,12.88,11.37,41.5,747,3.39,32,187.4,35.16,31.45,5.77,4.9,12.99,19.68,8.75,259.02,14.57,40.75,23.44,94.13,19.41,47.57,41.18,3.19,2.51,16.5,22,1.54,2.28,22.8,19.06,212.67,0.25,94.13,3.73,69.03,267.56,47.95,5.7,44.85,5.47,25.11,13.69,5.09,778.14,14.73,7.35,128.39,5.95,46.9,10.7,36.28,16.6,23.46,16.93,144.5,48.27,47.78,12.46,9.9,35.47,16.68,18.18,5.5,0.78,610,13.1,15.45,22.21,36.48,101.5,3,36.19,110.91,38.22,2.23,8.23,42.87,1.91,31.85,34.41,166.43,39.24,40.67,2.24,28.98,5.45,12.07,19.03,14.25,9.85,5.18,34.73,62,111.27,1.95,31.06,4.75,30.27,64.25,11.92,103.18,76.09,52.02,53.96,21.16,16.28,94.93,1350,25.28,4.5,3.56,7.13,22.42,7.21,46.94,13.16,66.73,9.73,89.32,9.38,11.91,75.63,57.08,174.41,70.06,0.64,3.53,51.05,102.23,46.69,17.41,21.85,388.64,82.39,2.6,15.51,106.3,343.67,22.93,2149.24,42,9.5,14.47,7.11,182.22,136,5.25,1074,2.62,6.87,9.97,2.21,42.13,15.1,1.96,1.2,1681.5,27.98,3.49,2800
1/5/2009,93.84,25.51,27.99,39.17,146.09,4.4,18.51,0.5,117.92,26.28,15,7.76,4.64,84.62,11.53,22.83,104.99,57.79,12.64,3.68,12.32,13.77,11.98,41.5,747,3.39,32,187.4,35.16,31.45,6.77,4.9,13.99,18.7,9.4,259.02,15.41,38.71,23.44,94.13,19.41,45.19,39.13,3.53,2.91,16.5,22,1.92,2.72,22.8,19.82,212.67,0.25,94.13,4,65.58,254.19,50.35,6.7,44.85,6.17,26.36,14.69,5.54,778.14,14.73,7.35,128.39,6.15,46.9,10.7,38.05,15.6,24.63,16.76,144.5,50.68,47.78,12.46,10.02,37.24,17.51,19.09,5.5,0.99,610,14.1,16.45,21.61,36.48,100.32,3,36.19,105.37,40.13,2.26,8.23,40.73,2.37,31.85,35.73,166.43,39.24,42.64,2.66,28.98,5.45,12.72,20,14.25,9.85,6,36.46,62,116.83,2.09,32.61,5.45,31.79,61.26,12.22,103.18,79.89,52.02,51.26,22.22,17,99.65,1350,24.15,5.11,4.18,7.85,23.54,6.65,49.27,13.2,66.73,10.21,93.78,9.05,11.91,71.85,57,165.69,66.56,0.7,3.99,48.5,105.06,49.02,16.54,22.94,369.21,78.27,3.53,15.61,100.99,343.67,21.79,2041.78,42,9.5,15.18,7.9,182.22,136,5.25,1021,2.75,7.44,10.97,2.57,41.75,15.1,2.45,1.2,1681.5,29.37,4.23,2800
1/6/2009,97,24.24,28.45,39.17,138.79,4.4,19.08,0.5,112.02,24.97,15,8.22,5.15,84.62,11.94,23.82,110.23,60.67,13.37,3.07,12.94,14.66,12.91,41.5,747,2.4,32,187.4,33.41,31.45,7.77,4.9,14.99,17.76,10.06,259.02,16.24,36.79,23.44,94.13,18.41,42.93,37.39,3.47,2.85,16.5,22,2.05,2.55,22.8,20.52,212.67,0.25,94.13,3.94,62.3,254.19,52.86,6.89,44.85,5.98,27.68,15.69,5.98,778.14,14.73,7.35,128.39,6.1,46.9,10.7,37.5,15.11,25.7,15.99,144.5,53.21,47.78,12.46,10.07,39.1,18.39,19.88,5.5,0.89,610,15.1,17.34,21.8,34.66,102.13,3,36.19,100.11,42.12,3.01,8.23,38.7,2.22,30.55,33.95,158.11,37.29,44.58,2.85,28.98,5.45,12.42,21,14.25,9.85,6.09,38.28,62,122.67,2.09,34.24,5.46,33.33,64.3,11.92,103.18,83.88,52.02,50.08,23.33,17.82,104.63,1266.83,24.56,5.4,3.98,8.09,24.72,7.14,51.73,13.49,66.73,10.23,98.46,8.7,11.91,68.26,59.75,157.41,63.24,0.71,3.81,48.5,110.31,51.47,15.72,24.08,350.75,80.88,3.53,16.61,100.99,343.67,21.79,2041.78,42,9.5,15.93,7.37,182.22,136,5.25,970,2.87,8,11.97,2.79,42.02,14.35,2.57,1.2,1681.5,30.83,5.11,2800
1/9/2009,95.41,24.88,28.1,39.17,131.85,4.4,18.47,0.5,109.96,23.72,15,8.35,4.67,77.56,11.59,23.35,115.74,60.27,13.53,3.05,13.58,15.48,12.03,41.5,747,2.4,30.4,187.4,31.74,31.45,7.43,4.9,15.99,16.88,9.4,259.02,16.65,34.95,22.27,94.13,18.41,40.78,35.52,3.08,2.62,16.5,22,1.79,2.75,22.8,19.5,212.67,0.25,94.13,3.63,62.93,254.19,55.5,6.97,44.85,5.43,29.06,16.32,6.42,778.14,14.73,7.35,128.39,6.05,44.56,10.7,37.5,14.92,25.56,16.26,144.5,55.87,47.78,12.46,10.08,40.98,18.96,20.87,5.5,0.8,610,15.61,17.88,21.53,34.66,97.32,3,36.19,95.11,44.13,2.7,8.23,36.76,1.99,31.95,32.34,150.21,35.43,45.36,2.77,28.98,5.45,11.73,22,14.25,9.85,5.87,38.17,62,128.53,1.89,35.87,4.74,34.99,66.79,11.72,103.18,88.07,52.02,47.86,24.49,18.38,109.86,1266.83,23.35,5.03,3.7,7.53,25.95,6.94,54.02,13,66.73,10.15,103.38,8.25,11.91,64.85,56.77,149.54,60.08,0.53,3.6,46.08,107.46,54.04,14.93,25.25,333.22,77.68,2.54,16.45,95.95,343.67,21.79,2041.78,37.05,9.5,15.06,6.5,182.22,136,5.25,922,2.74,7.79,12.87,2.52,40.88,14.35,2.3,1.2,1681.5,32.37,4.26,2800
1/12/2009,95.01,23.64,27.61,39.17,125.26,4.4,18.63,0.5,104.55,22.54,15,7.92,4.26,77.56,11.63,22.19,121.52,58.34,12.85,2.99,13.52,15.53,11.09,41.5,747,3,30.4,187.4,30.16,31.45,6.98,4.9,15.9,16.04,9.35,259.02,15.97,33.21,22.27,94.13,17.41,38.75,33.75,3,2.5,16.5,22,1.71,2.5,22.8,18.53,212.67,0.25,94.13,3.22,59.78,241.49,58.27,6.97,44.85,5.12,30.51,15.9,6.86,778.14,14.73,7.35,128.39,6.04,42.34,10.7,37.5,13.92,25.06,15.55,144.5,54.26,47.78,12.46,10.08,38.93,18.04,21.91,5.5,0.66,610,14.61,17.73,22.5,34.66,92.49,3,36.19,90.36,41.93,2.5,8.23,34.93,1.8,31.95,30.73,150.21,33.66,47.33,2.55,28.98,5.45,10.93,20.9,14.25,9.85,5.19,36.35,62,130.45,1.79,34.08,4.59,36.74,65.67,11.12,103.18,92.47,52.02,49,25.71,18.95,114.73,1266.83,22.18,4.86,3.46,7.13,27.24,6.58,52.49,12.12,66.73,9.15,105.79,7.79,11.91,61.61,53.94,142.07,57.08,0.56,3.29,46.08,104.43,56.74,14.19,26.22,316.56,75.01,2.42,16.1,91.16,343.67,21.79,2041.78,37.05,9.5,13.07,7.25,182.22,136,5.25,876,2.37,7.34,11.87,2.27,40.46,14.35,2.16,1.2,1681.5,33.98,3.76,2800
1/13/2009,95.5,22.46,27.2,39.17,119,4.4,18.66,0.5,104.33,21.42,15,7.69,4.11,77.56,11.94,21.08,127.59,61.19,13.17,2.4,13.35,15.09,10.52,41.5,747,3,30.4,187.4,30.16,31.45,7.03,4.9,15.5,15.24,8.77,259.02,16.71,31.55,21.16,94.13,17.41,36.81,32.06,2.94,2.44,16.5,22,1.81,3.42,22.8,17.6,212.67,0.25,94.13,3.48,56.8,229.42,60.98,5.97,44.85,5.09,32.03,15,6.71,778.14,14.73,7.35,128.39,5.9,42.34,10.7,36.5,12.92,26.22,14.55,144.5,53.12,47.78,12.46,10.46,37.11,18.09,20.8,5.5,0.65,610,13.99,18.3,21.38,32.93,89.25,3,36.19,90.36,40.85,2.13,8.23,33.18,1.84,31.95,32.26,142.7,31.98,45.8,2.69,28.98,5.45,10.12,20.9,14.25,9.85,4.57,37.64,62,129.25,1.78,32.38,4.37,37.46,66.53,10.82,103.18,90.06,52.02,48.61,27,18.24,120.46,1266.83,23.29,4.9,3.6,6.95,28.59,6.86,53.28,12,66.73,9.47,111.07,7.33,11.91,58.53,51.25,134.97,54.23,0.55,3.15,43.78,104.51,59.58,13.48,27.52,316.56,76.87,2.65,16.5,86.61,343.67,20.71,2041.78,37.05,9.5,13.62,7.4,182.22,136,6.25,876,2.33,7.5,11.27,2.46,39.46,14.35,2.37,1,1681.5,35.03,4.32,2800
1/14/2009,92.28,21.34,27.5,39.17,113.05,4.4,17.72,0.5,104.64,20.35,15,7.9,4.16,77.56,11.52,21.87,133.97,61.68,12.72,2.55,13.1,14.81,10.24,41.5,747,3,30.4,187.4,30.16,31.45,6.91,4.9,15,14.48,8.71,259.02,16.66,29.98,20.1,94.13,16.41,34.97,30.54,3,2.4,16.5,22,1.78,3.05,22.8,17.05,212.67,0.25,94.13,3.4,55.41,217.95,63.95,5.5,44.85,5.11,33.5,14.59,6.61,778.14,14.73,7.35,128.39,5.73,42.34,10.7,36.5,13.48,25.63,15.1,144.5,50.7,47.78,12.46,10.64,36.78,17.84,20.18,5.5,0.84,610,13.31,17.99,21,32.93,87.14,3,36.19,90.36,42.24,2.13,8.23,31.53,1.85,31.95,33.87,142.7,30.39,47.89,2.65,28.98,5.45,10.17,20.9,14.25,9.85,4.57,38.44,62,132.28,2.49,30.89,4.44,36.15,66.13,10.49,103.18,89.36,52.02,48.08,28.29,19.16,126.48,1266.83,23.02,4.85,3.82,6.99,28.22,6.53,54.73,12,66.73,9.58,116.62,7.35,11.91,55.61,48.69,128.23,51.52,0.55,3.22,43.78,103.71,61.14,13.38,27.49,300.74,76.68,2.9,16,82.28,343.67,20.71,2041.78,37.05,9.5,13.6,7,182.22,136,6.25,833,2.3,7.55,11,2.47,37.48,14.35,2.37,1,1681.5,33.3,3.93,2800
1/15/2009,88.54,20.27,26.23,39.17,107.4,4.4,16.84,0.5,99.8,19.34,15,7.44,3.85,77.56,11.52,21,127.53,58.6,12.02,2.81,12.58,13.92,9.52,41.5,747,3,30.4,187.4,30.16,31.45,6.06,4.9,14,13.8,8.38,259.02,15.83,28.48,20.1,94.13,16.41,33.22,29.02,2.86,2.2,16.5,22,1.61,2.62,22.8,16.13,212.67,0.25,94.13,3.2,52.69,207.05,60.75,5.3,44.85,5.21,31.83,13.6,6.17,778.14,14.73,7.35,121.97,6,42.34,10.7,36.5,12.53,25.48,15.16,144.5,48.17,47.78,12.46,10.64,34.95,17.56,20.6,5.5,0.84,610,12.59,16.99,20.92,32.93,83.51,3,36.19,90.36,40.16,2.13,8.23,29.96,1.61,31.95,32.18,142.7,28.88,45.49,2.36,28.98,5.45,10.17,19.86,14.25,9.85,3.85,36.52,62,126.1,2.08,29.35,4.01,34.34,62.83,9.96,103.18,85.05,52.02,48.08,26.87,18.2,127.42,1266.83,21.87,4.27,3.48,6.5,26.81,6.58,52,12,66.73,9.49,111.92,6.89,11.91,52.83,46.27,122,48.95,0.45,2.99,43.78,98.53,58.11,12.71,26.12,285.71,72.85,2.9,15,78.17,343.67,20.71,1939.7,37.05,9.5,11.39,6.1,182.22,136,6.25,833,2.19,7.12,10.19,2.27,35.65,14.35,2.1,1,1681.5,31.64,3.52,2800
1/16/2009,84.12,19.26,24.95,39.17,107.4,4.4,16,0.5,95.91,18.38,15,6.99,3.8,77.56,10.94,20.45,121.15,55.67,11.29,2.74,11.97,13.03,8.58,41.5,747,3,30.4,187.4,30.16,31.45,5.27,4.9,13.03,13.14,8.22,259.02,14.99,27.06,19.09,94.13,16.41,31.56,27.57,2.64,2.03,16.5,22,1.49,2.45,22.8,15.22,212.67,0.25,94.13,2.97,50.06,196.7,57.72,5.3,44.85,4.96,30.24,12.75,5.73,778.14,14.73,7.35,115.88,5.66,42.34,10.7,36.5,11.54,24.84,15,144.5,45.76,47.78,12.46,10.12,33.2,16.7,19.6,5.5,0.6,610,12.05,15.99,20.92,32.93,79.38,3,36.19,90.36,38.16,2.13,8.23,28.47,1.48,31.95,30.57,142.7,28.88,43.22,2.11,28.98,5.45,9.58,19.86,14.25,9.85,3.97,34.7,62,124.82,1.97,27.89,3.72,32.63,59.69,9.38,103.18,80.93,52.02,48.08,25.53,17.29,121.05,1266.83,20.78,3.86,3.18,6.08,25.48,6.87,49.4,11.25,66.73,8.95,106.33,6.43,11.91,50.19,43.96,115.9,46.51,0.26,2.84,41.6,93.61,55.21,12.08,24.82,271.43,69.21,2.9,14,74.27,343.67,19.68,1939.7,37.05,8.5,11.05,5.1,182.22,136,6.25,792,2.06,6.56,9.19,2.11,34.07,14.35,1.91,0.7,1681.5,30.07,3.38,2800
